Course Outcomes,Institutional Outcomes,SEAL of THOMASIAN EDUCATION,Program Outcomes
BCM6219L_1,S1,,
BCM6219L_1,S3,,
BCM6219L_1,E2,,
BCM6219L_1,,S,
BCM6219L_1,,E,
BCM6219L_1,,,BC_2
BCM6219L_2,E1,,
BCM6219L_2,E2,,
BCM6219L_2,E3,,
BCM6219L_2,,E,
BCM6219L_2,,,BC_6
BCM6219L_2,,,BC_7
BCM6219L_3,E1,,
BCM6219L_3,E2,,
BCM6219L_3,E3,,
BCM6219L_3,,E,
BCM6219L_3,,,BC_6
BCM6219L_3,,,BC_7
BCM6219L_4,A1,,
BCM6219L_4,A2,,
BCM6219L_4,A3,,
BCM6219L_4,,A,
BCM6219L_4,,,BC_1
BCM6219L_4,,,BC_3
BCM6219L_4,,,BC_4
BCM6219L_4,,,BC_7
BCM6219L_5,A1,,
BCM6219L_5,A2,,
BCM6219L_5,A3,,
BCM6219L_5,L1,,
BCM6219L_5,L2,,
BCM6219L_5,L3,,
BCM6219L_5,,A,
BCM6219L_5,,L,
BCM6219L_5,,,BC_1
BCM6219L_5,,,BC_3
BCM6219L_5,,,BC_4
BCM6219L_5,,,BC_7
BCM6229L_1,S1,,
BCM6229L_1,S3,,
BCM6229L_1,E2,,
BCM6229L_1,,S,
BCM6229L_1,,E,
BCM6229L_1,,,BC_2
BCM6229L_2,E1,,
BCM6229L_2,E2,,
BCM6229L_2,E3,,
BCM6229L_2,A1,,
BCM6229L_2,A2,,
BCM6229L_2,A3,,
BCM6229L_2,,E,
BCM6229L_2,,A,
BCM6229L_2,,,BC_1
BCM6229L_2,,,BC_3
BCM6229L_2,,,BC_4
BCM6229L_2,,,BC_6
BCM6229L_2,,,BC_7
BCM6229L_3,A1,,
BCM6229L_3,A2,,
BCM6229L_3,A3,,
BCM6229L_3,L1,,
BCM6229L_3,L2,,
BCM6229L_3,L3,,
BCM6229L_3,,A,
BCM6229L_3,,L,
BCM6229L_3,,,BC_1
BCM6229L_3,,,BC_3
BCM6229L_3,,,BC_4
BCM6229L_3,,,BC_7
BCM6229L_4,L1,,
BCM6229L_4,L2,,
BCM6229L_4,L3,,
BCM6229L_4,,L,
BCM6229L_4,,,BC_1
BCM6229L_4,,,BC_3
BCM6229L_4,,,BC_4
